"官等別","Rank","總計 Grand Total","中央各機關 Central Government Agency","臺灣各縣市機關 Local County(City) Agency","新北市各機關 New Taipei City Agency","台北市各機關 Taipei City Agency","臺中市各機關 Taichung City Agency","臺南市各機關 Tainan City Agency","高雄市各機關 Kaohsiung City Agency","金門縣,連江縣各機關 Kinmen & Lienchiang County Agency"
"總計","GrandTotal","335274","185286","108290","28208","12142","1348"
"政務人員","PoliticalAppointee","285","208","25","27","23","2"
"特任(派)","SpeciallyAppointmentRank","129","129","－","－","－","－"
"比照簡任十四職等","EquivalenttoGrade14","54","50","－","2","2","－"
"比照簡任十三職等","EquivalenttoGrade13","102","29","25","25","21","2"
"比照簡任十二職等","EquivalenttoGrade12","－","－","－","－","－","－"
"民選機關首長","ElectedAgencyChief","344","－","330","1","1","12"
"直轄市長","Mayor","2","－","－","1","1","－"
"縣(市)長","Magistrate","23","－","21","－","－","2"
"鄉(鎮、市)長","Alcalde","319","－","309","－","－","10"
"簡薦委任(派)人員","RankingServant","174277","86378","61437","18326","7220","916"
"簡任","SeniorRank","8705","7457","767","275","155","51"
"簡派","SeniorDetail","265","192","－","68","5","－"
"薦任","JuniorRank","94036","45696","34722","8924","4226","468"
"薦派","JuniorDetail","2866","1771","7","967","121","－"
"委任","ElementaryRank","64383","28382","25190","7790","2628","393"
"委派","ElementaryDetail","891","702","5","159","25","－"
"雇員","AuxiliaryEmployee","3131","2178","746","143","60","4"
"警察人員","PoliceOfficer","72843","15140","46215","6969","4123","396"
"警監","SelectedRank","237","172","40","11","10","4"
"警正","RecommendedRank","47302","10887","29060","4206","2886","263"
"警佐","DelegatedRank","25304","4081","17115","2752","1227","129"
"資料來源：全國公務人力資料庫。"
"註：分類職位人員項下括弧內之職等，係指直轄市及各縣市生產事業人員之職等；金融人員項下括弧內之職等"
"13職等6級以上(12至14職等)","Grade13,Level6&Over(Grade12to14)","801","790","－","11","－","－"
"7至13職等5級(8至11職等)","Grade7to13,underLevel5(Grade8to11)","18671","18130","21","520","－","－"
"1至6職等(3至7職等)","Grade1to6(Grade3to7)","960","869","13","78","－","－"
"資位人員","RankPersonnel","32868","32868","－","－","－","－"
"長級","SeniorLevel","105","105","－","－","－","－"
"副長級","Sub-seniorLevel","669","669","－","－","－","－"
"高員級","JuniorLevel","4955","4955","－","－","－","－"
"員級","ElementaryLevel","6515","6515","－","－","－","－"
"佐級","AssistantLevel","13565","13565","－","－","－","－"
"士級","BasicLevel","7059","7059","－","－","－","－"
"金融人員","FinancialPersonnel","16198","16198","－","－","－","－"
"14(13)職等以上","Grade14(13)&over","428","428","－","－","－","－"
"8至13(8至12)職等","Grade8to13(Grade8to12)","12446","12446","－","－","－","－"
"6職等至7職等","Grade6to7","2467","2467","－","－","－","－"
"5職等","Grade5","857","857","－","－","－","－"
"醫事人員","MedicalPersonnel","18027","14705","249","2276","775","22"
"師(一)級","SeniorGrade1","435","396","1","18","20","－"
"師(二)級","SeniorGrade2","2753","2258","43","316","135","1"
"師(三)級","SeniorGrade3","8320","6659","126","1199","323","13"
"士(生)級","Junior","6519","5392","79","743","297","8"
"Source:AllCivilServantsDatabase."
"Note:ThegradingintheparenthesisofCategorizedPositionPersonnelisusedinthestaffsofproductenterprisemanagedby"
"county(city)government.ThegradingintheparenthesisofFinancialPersonnelisusedintheCentralBankstaffs."
